EarthMarsRelay2.Mars.RadPer   EarthMarsRelay2.Earth.RadPer   
160507653.8949566             322429890.9845816              
160559119.5831015             326247826.0903529              
160639612.9905159             330007026.7171294              
160748266.1167736             333695594.5791302              
160884209.4668363             337302856.8018812              
161046566.9154994             340819511.1481616              
161234450.7084582             344237480.1154227              
161446956.5919181             347552077.1892534              
161683159.0626228             350764863.0952238              
161942106.7303915             353877694.3386882              
162222817.785462              356885622.1798792              
162524275.563085              359779669.5196462              
162845424.1990307             362550521.5895774              
163185164.3697695             365189636.00907                
163542349.11258               367689639.0046055              
163915779.7216896             370044498.4863496              
164304201.7173719             372250096.8737328              
164706300.8853537             374306059.7720758              
165120699.3842764             376214730.3347306              
165545951.9186028             377975244.5642607              
165980541.9750625             379582726.9797168              
166422878.1208076             381031602.6829314              
166871290.3630998             382317046.3681909              
167324026.5709429             383435283.7143968              
167779248.9612394             384383938.0047358              
168235030.6528202             385162391.9999894              
168689352.2931503             385772001.5279952              
169140098.7621093             386215285.3974876              
169585055.9565791             386493394.2459399              
170021907.659516              386605281.5552047              
170448232.4974017             386549461.2749627              
170861500.9919617             386325168.7484942              
171259072.712718              385932746.0009961              
171638193.5379128             385374108.6587143              
171995993.03089               384653105.8979652              
172329481.938097              383775123.9726027              
172635549.8137492             382745367.3042334              
172910962.7739587             381566634.907417               
173152361.3823178             380239868.1959428              
173356258.66627               378766515.4047059              
173519038.2622739             377149153.7101126              
173636952.6853759             375391360.0151413              
173706121.716144              373498381.1384749              
173722530.8955581             371478016.5194461              
173682030.1148563             369339876.1010087              
173580332.2841686             367092840.8683589              
173413012.0599276             364742557.6221846              
173175504.6071784             362291542.8235074              
172863104.3684846             359742265.1936739              
172470963.807357              357098880.1697953              
171994092.0896794             354366676.7426168              
171427353.6631491             351552103.180504               
170765466.6918059             348664407.4437017              
